order_item_id,order_id,product_name,quantity,price
1,180,Product 2,3,163.36
2,30,Product 9,2,221.08
3,168,Product 9,4,74.58
4,167,Product 9,1,11.01
5,197,Product 1,3,16.59
6,142,Product 6,4,96.53
7,185,Product 10,2,205.31
8,56,Product 3,2,167.89
9,111,Product 10,1,164.26
10,116,Product 7,1,248.77
11,59,Product 3,3,81.78
12,106,Product 3,4,110.39
13,87,Product 3,5,89.94
14,117,Product 10,4,281.85
15,103,Product 3,2,220.26
16,107,Product 8,2,42.72
17,187,Product 1,3,244.75
18,25,Product 7,5,131.58
19,81,Product 6,3,232.16
20,110,Product 4,2,266.29
21,81,Product 8,2,14.54
22,171,Product 10,4,69.76
23,66,Product 5,5,39.26
24,96,Product 8,4,19.74
25,40,Product 4,4,183.36
26,176,Product 9,3,213.95
27,122,Product 4,4,24.12
28,18,Product 5,1,224.76
29,24,Product 8,1,126.66
30,22,Product 4,4,77.96
31,24,Product 6,5,73.01
32,111,Product 10,4,260.48
33,25,Product 8,2,26.37
34,191,Product 8,2,156.13
35,190,Product 5,5,93.89
36,96,Product 7,3,246.58
37,34,Product 9,1,222.14
38,143,Product 9,1,102.48
39,16,Product 7,3,183.4
40,151,Product 3,4,205.03
41,144,Product 4,5,102.99
42,144,Product 10,4,97.51
43,85,Product 3,3,51.55
44,172,Product 5,5,201.46
45,32,Product 1,1,74.1
46,106,Product 8,1,97.15
47,91,Product 6,4,27.68
48,171,Product 9,2,285.07
49,193,Product 2,3,265.12
50,109,Product 9,3,274.36
51,185,Product 2,4,191.54
52,14,Product 5,3,133.89
53,74,Product 2,1,153.73
54,154,Product 3,4,291.96
55,80,Product 5,1,283.06
56,91,Product 8,5,204.69
57,27,Product 9,5,237.88
58,148,Product 3,2,102.43
59,130,Product 7,3,130.73
60,55,Product 2,5,53.27
61,40,Product 4,3,119.17
62,169,Product 8,1,228.78
63,124,Product 6,4,147.32
64,58,Product 1,5,256.31
65,28,Product 7,4,97.21
66,90,Product 1,5,215.2
67,143,Product 7,3,243.68
68,95,Product 9,5,275.27
69,30,Product 6,5,173.09
70,196,Product 4,1,290.66
71,72,Product 7,2,171.61
72,147,Product 2,1,48.89
73,58,Product 6,4,80.43
74,110,Product 4,3,68.97
75,144,Product 1,3,197.54
76,197,Product 6,5,277.45
77,160,Product 2,3,255.67
78,158,Product 6,2,36.81
79,173,Product 3,2,220.13
80,165,Product 3,5,65.24
81,143,Product 1,5,87.85
82,7,Product 5,4,205.36
83,156,Product 8,5,184.85
84,169,Product 3,1,263.35
85,178,Product 8,1,64.57
86,69,Product 8,1,230.89
87,8,Product 10,2,220.05
88,47,Product 1,3,172.07
89,70,Product 2,4,149.02
90,180,Product 1,5,262.15
91,196,Product 5,4,106.56
92,80,Product 4,2,287.54
93,87,Product 3,5,14.45
94,90,Product 9,5,281.78
95,2,Product 10,2,289.0
96,47,Product 9,3,44.02
97,37,Product 7,5,299.88
98,145,Product 2,3,148.89
99,169,Product 5,2,80.35
100,103,Product 4,4,185.28
101,18,Product 5,5,69.31
102,37,Product 2,3,275.39
103,190,Product 1,5,170.1
104,163,Product 4,3,234.9
105,8,Product 7,5,120.39
106,24,Product 10,5,164.76
107,192,Product 8,5,114.19
108,136,Product 2,4,85.85
109,56,Product 2,5,158.72
110,97,Product 8,3,154.21
111,108,Product 10,4,38.6
112,117,Product 9,1,294.58
113,88,Product 1,3,146.15
114,41,Product 9,3,253.52
115,95,Product 10,1,275.16
116,80,Product 4,4,117.5
117,185,Product 3,5,130.04
118,84,Product 5,3,173.13
119,199,Product 7,1,74.17
120,146,Product 1,5,52.32
121,153,Product 10,4,85.62
122,22,Product 6,3,281.08
123,14,Product 4,5,177.95
124,40,Product 10,5,131.1
125,41,Product 7,2,54.2
126,194,Product 3,1,105.66
127,159,Product 2,5,120.15
128,13,Product 9,4,251.68
129,173,Product 6,2,154.8
130,21,Product 2,5,199.84
131,70,Product 9,5,208.61
132,114,Product 9,4,84.62
133,170,Product 9,2,248.26
134,109,Product 9,2,290.29
135,125,Product 9,1,196.09
136,156,Product 1,5,152.27
137,114,Product 7,1,58.79
138,107,Product 8,2,240.54
139,70,Product 1,1,59.09
140,56,Product 7,4,218.89
141,194,Product 6,3,151.61
142,132,Product 5,4,275.9
143,30,Product 1,2,167.22
144,89,Product 6,4,196.12
145,111,Product 2,2,27.03
146,29,Product 6,4,19.81
147,73,Product 4,5,255.54
148,174,Product 2,5,284.1
149,174,Product 10,4,203.78
150,152,Product 6,1,231.66
151,125,Product 3,2,129.59
152,135,Product 1,5,254.34
153,171,Product 6,2,77.12
154,79,Product 9,5,215.08
155,12,Product 6,3,12.65
156,57,Product 3,4,156.66
157,102,Product 8,5,118.23
158,154,Product 8,4,189.17
159,15,Product 3,3,203.36
160,2,Product 3,2,188.79
161,53,Product 2,4,150.13
162,78,Product 8,5,151.48
163,55,Product 1,3,11.92
164,197,Product 5,5,169.98
165,36,Product 4,3,13.44
166,196,Product 1,3,163.53
167,66,Product 4,5,89.67
168,75,Product 1,4,293.47
169,84,Product 6,2,14.97
170,31,Product 5,2,245.82
171,2,Product 9,3,205.47
172,128,Product 7,5,243.79
173,192,Product 9,3,273.83
174,111,Product 8,2,41.03
175,45,Product 5,3,37.93
176,34,Product 1,3,53.18
177,98,Product 4,2,65.66
178,137,Product 5,4,162.67
179,181,Product 6,3,246.41
180,59,Product 1,4,87.52
181,129,Product 6,3,125.1
182,144,Product 5,5,118.18
183,172,Product 2,3,127.75
184,91,Product 6,3,173.85
185,19,Product 7,1,297.17
186,102,Product 7,5,75.5
187,190,Product 8,5,208.37
188,11,Product 7,4,255.88
189,112,Product 6,4,199.58
190,5,Product 3,3,258.88
191,118,Product 8,2,230.28
192,20,Product 8,3,37.12
193,81,Product 6,1,119.99
194,148,Product 9,3,170.28
195,110,Product 5,1,26.27
196,147,Product 2,3,12.74
197,104,Product 7,4,59.7
198,182,Product 2,3,154.96
199,164,Product 7,4,135.83
200,107,Product 10,2,237.47
201,75,Product 3,2,174.1
202,30,Product 9,5,258.81
203,104,Product 5,3,37.65
204,6,Product 6,5,163.17
205,84,Product 2,3,22.34
206,44,Product 2,2,71.31
207,159,Product 6,1,261.75
208,118,Product 5,5,267.39
209,177,Product 5,5,147.9
210,93,Product 8,2,23.5
211,23,Product 10,2,31.56
212,112,Product 7,1,278.42
213,28,Product 3,5,270.8
214,63,Product 8,2,173.42
215,112,Product 6,2,19.54
216,151,Product 8,1,279.34
217,103,Product 1,1,101.2
218,135,Product 6,4,288.83
219,21,Product 10,3,180.24
220,102,Product 7,4,228.15
221,80,Product 5,1,216.69
222,191,Product 1,2,125.51
223,87,Product 2,1,32.31
224,57,Product 7,5,57.11
225,86,Product 6,2,79.74
226,200,Product 9,4,252.05
227,44,Product 3,4,122.86
228,20,Product 1,4,269.99
229,131,Product 3,2,106.2
230,163,Product 10,3,229.13
231,30,Product 8,3,50.59
232,136,Product 1,3,296.66
233,131,Product 3,1,220.01
234,50,Product 2,1,155.23
235,199,Product 4,5,292.55
236,90,Product 6,2,25.57
237,90,Product 6,5,136.76
238,187,Product 7,1,253.22
239,166,Product 10,2,108.77
240,38,Product 1,4,233.01
241,61,Product 10,2,286.91
242,27,Product 3,1,125.04
243,38,Product 8,4,234.33
244,66,Product 6,4,18.59
245,51,Product 6,2,89.26
246,45,Product 8,3,297.85
247,155,Product 2,1,152.28
248,40,Product 10,1,113.19
249,195,Product 3,3,282.93
250,195,Product 9,5,135.24
251,168,Product 6,5,207.11
252,20,Product 7,1,201.59
253,46,Product 6,3,34.85
254,198,Product 5,3,189.4
255,161,Product 4,4,241.44
256,127,Product 2,5,216.8
257,119,Product 1,5,33.79
258,194,Product 3,4,54.72
259,145,Product 8,2,216.39
260,195,Product 9,5,193.83
261,149,Product 7,4,224.5
262,115,Product 9,3,101.84
263,175,Product 2,2,40.9
264,145,Product 5,1,11.51
265,165,Product 5,3,99.4
266,163,Product 8,2,114.38
267,160,Product 4,4,88.23
268,83,Product 10,3,48.43
269,161,Product 5,2,64.34
270,81,Product 8,1,140.16
271,39,Product 4,3,170.87
272,113,Product 2,3,128.33
273,18,Product 3,5,17.62
274,121,Product 2,2,112.64
275,114,Product 8,2,36.99
276,162,Product 3,5,183.43
277,78,Product 8,4,104.08
278,71,Product 2,4,121.72
279,152,Product 6,5,94.64
280,15,Product 6,3,122.46
281,91,Product 2,1,34.56
282,130,Product 9,4,271.33
283,19,Product 9,1,272.51
284,80,Product 5,2,293.67
285,119,Product 5,2,175.87
286,116,Product 3,4,59.18
287,10,Product 3,3,120.41
288,15,Product 6,2,50.26
289,95,Product 9,1,97.33
290,74,Product 4,3,153.01
291,20,Product 2,4,28.35
292,166,Product 4,2,136.06
293,24,Product 3,4,132.12
294,158,Product 4,3,150.43
295,153,Product 8,3,32.31
296,130,Product 1,3,82.99
297,99,Product 6,5,81.51
298,119,Product 9,5,191.26
299,149,Product 10,1,182.2
300,142,Product 6,3,66.71
301,190,Product 8,3,41.02
302,11,Product 9,2,98.35
303,116,Product 3,1,285.16
304,147,Product 10,1,106.34
305,167,Product 2,4,189.86
306,49,Product 2,3,243.18
307,83,Product 5,2,105.57
308,155,Product 7,4,107.07
309,122,Product 8,5,246.49
310,129,Product 9,3,259.26
311,39,Product 7,1,292.53
312,16,Product 7,3,49.48
313,116,Product 10,3,102.99
314,27,Product 2,5,284.71
315,88,Product 3,2,68.25
316,183,Product 6,2,101.11
317,22,Product 2,2,289.73
318,130,Product 8,4,290.93
319,166,Product 8,2,94.52
320,45,Product 9,4,211.54
321,11,Product 6,5,152.39
322,64,Product 3,3,177.0
323,182,Product 9,4,80.3
324,113,Product 10,5,119.06
325,113,Product 3,4,246.78
326,135,Product 3,5,123.95
327,134,Product 7,2,43.03
328,157,Product 9,2,173.52
329,41,Product 1,5,181.75
330,94,Product 2,1,168.23
331,96,Product 9,5,207.7
332,73,Product 3,4,169.53
333,100,Product 5,5,286.37
334,105,Product 3,3,143.87
335,199,Product 3,1,215.43
336,87,Product 6,5,137.15
337,174,Product 4,1,94.49
338,154,Product 6,1,210.92
339,14,Product 9,5,247.5
340,162,Product 5,5,240.74
341,166,Product 2,2,128.65
342,86,Product 5,5,154.8
343,17,Product 4,5,193.67
344,85,Product 9,2,80.19
345,25,Product 5,2,201.01
346,143,Product 3,3,217.42
347,174,Product 5,5,238.83
348,99,Product 10,4,31.45
349,73,Product 9,1,297.3
350,65,Product 2,2,148.98
351,186,Product 9,5,126.23
352,169,Product 3,4,156.92
353,155,Product 10,1,276.91
354,39,Product 10,5,210.6
355,86,Product 3,4,167.66
356,21,Product 3,1,239.31
357,150,Product 10,4,114.26
358,170,Product 10,2,269.7
359,37,Product 6,5,165.7
360,90,Product 10,4,195.07
361,80,Product 1,4,34.64
362,168,Product 1,5,233.0
363,179,Product 2,1,200.7
364,170,Product 1,5,112.95
365,101,Product 10,4,197.63
366,34,Product 5,3,22.85
367,153,Product 4,1,295.25
368,182,Product 10,4,206.47
369,22,Product 7,3,125.89
370,80,Product 10,1,228.28
371,144,Product 1,2,290.06
372,97,Product 8,5,134.83
373,165,Product 9,1,13.06
374,85,Product 5,1,85.03
375,33,Product 5,4,158.1
376,172,Product 8,3,160.45
377,180,Product 4,1,178.35
378,190,Product 7,5,176.82
379,176,Product 5,1,139.28
380,135,Product 8,1,123.43
381,24,Product 2,4,233.98
382,166,Product 1,1,180.69
383,172,Product 3,3,155.14
384,109,Product 8,4,110.04
385,131,Product 7,2,17.12
386,93,Product 8,2,40.32
387,5,Product 8,4,130.63
388,93,Product 4,3,288.9
389,80,Product 6,4,43.66
390,47,Product 10,4,282.8
391,55,Product 3,4,51.09
392,88,Product 6,4,100.45
393,197,Product 6,1,142.05
394,125,Product 6,5,69.99
395,50,Product 7,2,150.05
396,58,Product 3,3,148.09
397,36,Product 6,1,137.07
398,40,Product 9,2,212.06
399,20,Product 9,5,102.48
400,76,Product 2,4,97.08
